add-none,2,100,400,337451,843,0
add-none,2,1000,4000,299963,74,-10
add-none,2,10000,40000,986747,24,-1655
add-none,2,100000,400000,7970114,19,-4658
add-none,4,100,800,1160949,1451,0
add-none,4,1000,8000,369722,46,134
add-none,4,10000,80000,2100941,26,-2580
add-none,4,100000,800000,22605333,28,-37732
add-none,8,100,1600,1295592,809,0
add-none,8,1000,16000,1238982,77,116
add-none,8,10000,160000,4824086,30,-3577
add-none,8,100000,1600000,31693051,19,-73925
add-none,12,100,2400,1298880,541,-2
add-none,12,1000,24000,1430213,59,-52
add-none,12,10000,240000,6677610,27,-4358
add-none,12,100000,2400000,69398796,28,-14913
add-yield-none,2,10,40,237954,5948,0
add-yield-none,2,20,80,233574,2919,0
add-yield-none,2,40,160,250526,1565,-18
add-yield-none,2,80,320,272037,850,6
add-yield-none,2,100,400,278901,697,-43
add-yield-none,2,1000,4000,936613,234,138
add-yield-none,2,10000,40000,7542279,188,46
add-yield-none,2,100000,400000,86920551,217,9624
add-yield-none,4,10,80,321840,4023,1
add-yield-none,4,20,160,321764,2011,15
add-yield-none,4,40,320,332351,1038,41
add-yield-none,4,80,640,362289,566,32
add-yield-none,4,100,800,365274,456,-29
add-yield-none,4,1000,8000,1238462,154,-127
add-yield-none,4,10000,80000,11373638,142,540
add-yield-none,4,100000,800000,112465905,140,-6744
add-yield-none,8,10,160,1313813,8211,0
add-yield-none,8,20,320,492783,1539,17
add-yield-none,8,40,640,1295053,2023,55
add-yield-none,8,80,1280,481007,375,45
add-yield-none,8,100,1600,498247,311,17
add-yield-none,8,1000,16000,1549185,96,127
add-yield-none,8,10000,160000,14253539,89,-1106
add-yield-none,8,100000,1600000,-854819301,-534,-15540
add-yield-none,12,10,240,1283596,5348,8
add-yield-none,12,20,480,1249325,2602,5
add-yield-none,12,40,960,1259432,1311,143
add-yield-none,12,80,1920,599336,312,422
add-yield-none,12,100,2400,660998,275,261
add-yield-none,12,1000,24000,1922119,80,-9
add-yield-none,12,10000,240000,20786699,86,-3552
add-yield-none,12,100000,2400000,221599281,92,-36576
add-none,2,100,400,275835,689,0
add-none,2,1000,4000,272503,68,0
add-none,2,10000,40000,908977,22,-674
add-none,2,100000,400000,7868111,19,-16954
add-none,8,100,1600,1150242,718,0
add-none,8,1000,16000,527166,32,-361
add-none,8,10000,160000,3643638,22,-7581
add-none,8,100000,1600000,41700364,26,-56723
add-yield-none,2,100,400,364123,910,-6
add-yield-none,2,1000,4000,1096530,274,0
add-yield-none,2,10000,40000,10096153,252,0
add-yield-none,2,100000,400000,78382849,195,-31661
add-yield-none,8,100,1600,516087,322,328
add-yield-none,8,1000,16000,1463299,91,-311
add-yield-none,8,10000,160000,11021654,68,-266
add-yield-none,8,100000,1600000,144019122,90,-54245
add-none,1,1,2,206510,103255,0
add-none,1,10,20,200365,10018,0
add-none,1,100,200,204045,1020,0
add-none,1,1000,2000,217011,108,0
add-none,1,10000,20000,386797,19,0
add-none,1,100000,200000,2119405,10,0
add-m,2,1,4,266264,66566,0
add-c,2,1,4,241762,60440,0
add-s,2,1,4,230047,57511,0
add-m,2,10,40,264112,6602,0
add-c,2,10,40,258016,6450,0
add-s,2,10,40,287340,7183,0
add-m,2,100,400,277851,694,0
add-c,2,100,400,1622769,4056,0
add-s,2,100,400,265464,663,0
add-m,2,1000,4000,565328,141,0
add-c,2,1000,4000,513864,128,0
add-s,2,1000,4000,582803,145,0
add-m,2,10000,40000,4067043,101,0
add-c,2,10000,40000,4156454,103,0
add-m,4,1,8,1116673,139584,0
add-c,4,1,8,327814,40976,0
add-s,4,1,8,318967,39870,0
add-m,4,10,80,300427,3755,0
add-c,4,10,80,307362,3842,0
add-s,4,10,80,317481,3968,0
add-m,4,100,800,319852,399,0
add-c,4,100,800,304057,380,0
add-s,4,100,800,319207,399,0
add-m,4,1000,8000,1427192,178,0
add-c,4,1000,8000,865338,108,0
add-s,4,1000,8000,1284823,160,0
add-m,4,10000,80000,14840936,185,0
add-c,4,10000,80000,7152679,89,0
add-m,8,1,16,1303470,81466,0
add-c,8,1,16,1256218,78513,0
add-s,8,1,16,502286,31392,0
add-m,8,10,160,486124,3038,0
add-c,8,10,160,477617,2985,0
add-s,8,10,160,967843,6049,0
